material_id,cif,formation_energy_per_atom,dir_gap
3220,"# generated using pymatgen
data_CaMgNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.08560058
_cell_length_b   4.08560058
_cell_length_c   4.08560058
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaMgNOF
_chemical_formula_sum   'Ca1 Mg1 N1 O1 F1'
_cell_volume   68.19738471
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.00061069  0.00000000  0.00000000  1
  Mg  Mg1  1  0.50447598  0.50000000  0.50000000  1
  F  F2  1  0.50025985  0.00000000  0.50000000  1
  N  N3  1  0.50028379  0.50000000  0.00000000  1
  O  O4  1  0.00435859  0.50000000  0.50000000  1
",1.18,0.0
4674,"# generated using pymatgen
data_VReNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.98649914
_cell_length_b   3.98649914
_cell_length_c   3.98649914
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   VReNOF
_chemical_formula_sum   'V1 Re1 N1 O1 F1'
_cell_volume   63.35414375
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  V  V0  1  0.00020383  0.00000000  0.00000000  1
  Re  Re1  1  0.50404140  0.50000000  0.50000000  1
  F  F2  1  0.49987533  0.00000000  0.50000000  1
  N  N3  1  0.50146578  0.50000000  0.00000000  1
  O  O4  1  0.00461183  0.50000000  0.50000000  1
",1.16,0.0
14782,"# generated using pymatgen
data_HfAsO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.11999138
_cell_length_b   4.11999138
_cell_length_c   4.11999138
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfAsO3
_chemical_formula_sum   'Hf1 As1 O3'
_cell_volume   69.93408892
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  As  As0  1  0.00027124  0.00000000  0.00000000  1
  Hf  Hf1  1  0.50611695  0.50000000  0.50000000  1
  O  O2  1  0.49961520  0.00000000  0.50000000  1
  O  O3  1  0.49961520  0.50000000  0.00000000  1
  O  O4  1  0.00444148  0.50000000  0.50000000  1
",0.9,0.0
9984,"# generated using pymatgen
data_ZnCoSO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.11648888
_cell_length_b   4.11648888
_cell_length_c   4.11648888
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZnCoSO2
_chemical_formula_sum   'Zn1 Co1 S1 O2'
_cell_volume   69.75588263
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.11897412  0.00000000  -0.00000000  1
  Co  Co1  1  0.55409284  0.50000000  0.50000000  1
  S  S2  1  0.34309709  0.00000000  0.50000000  1
  O  O3  1  0.48949540  0.50000000  -0.00000000  1
  O  O4  1  -0.01157195  0.50000000  0.50000000  1
",1.16,0.0
13048,"# generated using pymatgen
data_YTiO2F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.35191818
_cell_length_b   4.35191818
_cell_length_c   4.35191818
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YTiO2F
_chemical_formula_sum   'Y1 Ti1 O2 F1'
_cell_volume   82.42181307
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00057624  0.00000000  0.00000000  1
  Y  Y1  1  0.50510777  0.50000000  0.50000000  1
  F  F2  1  0.49980694  0.00000000  0.50000000  1
  O  O3  1  0.49996085  0.50000000  0.00000000  1
  O  O4  1  0.00448794  0.50000000  0.50000000  1
",1.16,0.0
15550,"# generated using pymatgen
data_SrPdO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.62476640
_cell_length_b   4.62476640
_cell_length_c   4.62476640
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SrPdO3
_chemical_formula_sum   'Sr1 Pd1 O3'
_cell_volume   98.91665064
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pd  Pd0  1  0.00028146  -0.00000000  0.00000000  1
  Sr  Sr1  1  0.50431576  0.50000000  0.50000000  1
  O  O2  1  0.49951719  -0.00000000  0.50000000  1
  O  O3  1  0.49951719  0.50000000  -0.00000000  1
  O  O4  1  0.00497609  0.50000000  0.50000000  1
",2.12,0.0
9143,"# generated using pymatgen
data_HfGaSO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.27794842
_cell_length_b   4.27794842
_cell_length_c   4.27794842
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HfGaSO2
_chemical_formula_sum   'Hf1 Ga1 S1 O2'
_cell_volume   78.29006109
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Hf  Hf0  1  0.14841189  0.00000000  0.00000000  1
  Ga  Ga1  1  0.55955628  0.50000000  0.50000000  1
  S  S2  1  0.45079977  0.00000000  0.50000000  1
  O  O3  1  0.37955566  0.50000000  0.00000000  1
  O  O4  1  0.00671735  0.50000000  0.50000000  1
",1.3,0.0
12713,"# generated using pymatgen
data_ZnHgO2F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.33427333
_cell_length_b   4.33427333
_cell_length_c   4.33427333
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   ZnHgO2F
_chemical_formula_sum   'Zn1 Hg1 O2 F1'
_cell_volume   81.42333475
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Zn  Zn0  1  0.00031105  0.00000000  0.00000000  1
  Hg  Hg1  1  0.50492690  0.50000000  0.50000000  1
  F  F2  1  0.49980706  0.00000000  0.50000000  1
  O  O3  1  0.50023072  0.50000000  0.00000000  1
  O  O4  1  0.00473555  0.50000000  0.50000000  1
",1.64,0.0
817,"# generated using pymatgen
data_NaYNO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.06555609
_cell_length_b   4.06555609
_cell_length_c   4.06555609
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaYNO2
_chemical_formula_sum   'Na1 Y1 N1 O2'
_cell_volume   67.19854549
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.00037666  0.00000000  0.00000000  1
  Na  Na1  1  0.50554133  0.50000000  0.50000000  1
  N  N2  1  0.49951655  0.00000000  0.50000000  1
  O  O3  1  0.49970670  0.50000000  0.00000000  1
  O  O4  1  0.00485635  0.50000000  0.50000000  1
",2.0,0.0
10474,"# generated using pymatgen
data_CrInSO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.20407291
_cell_length_b   4.20407291
_cell_length_c   4.20407291
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CrInSO2
_chemical_formula_sum   'Cr1 In1 S1 O2'
_cell_volume   74.30374768
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  -0.08220861  0.00000000  0.00000000  1
  Cr  Cr1  1  0.56854480  0.50000000  0.50000000  1
  S  S2  1  0.35301904  0.00000000  0.50000000  1
  O  O3  1  0.61120415  0.50000000  0.00000000  1
  O  O4  1  -0.00340717  0.50000000  0.50000000  1
",0.58,0.0
14145,"# generated using pymatgen
data_CuReO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.86758314
_cell_length_b   3.86758314
_cell_length_c   3.86758314
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CuReO3
_chemical_formula_sum   'Cu1 Re1 O3'
_cell_volume   57.85207965
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.00328554  -0.00000000  0.00000000  1
  Re  Re1  1  0.51667911  0.50000000  0.50000000  1
  O  O2  1  0.51649237  0.00000000  0.50000000  1
  O  O3  1  0.51649237  0.50000000  0.00000000  1
  O  O4  1  0.01688590  0.50000000  0.50000000  1
",0.68,0.0
17956,"# generated using pymatgen
data_CdBN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.56737961
_cell_length_b   3.56737961
_cell_length_c   3.56737961
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CdBN3
_chemical_formula_sum   'Cd1 B1 N3'
_cell_volume   45.39917687
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.00068467  0.00000000  -0.00000000  1
  B  B1  1  0.53154268  0.50000000  0.50000000  1
  N  N2  1  0.47847789  0.00000000  0.50000000  1
  N  N3  1  0.47847789  0.50000000  -0.00000000  1
  N  N4  1  -0.04750407  0.50000000  0.50000000  1
",2.14,0.0
16291,"# generated using pymatgen
data_LiNbN3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.61243436
_cell_length_b   3.61243436
_cell_length_c   3.61243436
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiNbN3
_chemical_formula_sum   'Li1 Nb1 N3'
_cell_volume   47.14111981
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nb  Nb0  1  0.09928874  -0.00000000  0.00000000  1
  Li  Li1  1  0.50774667  0.50000000  0.50000000  1
  N  N2  1  0.43821968  -0.00000000  0.50000000  1
  N  N3  1  0.43821968  0.50000000  -0.00000000  1
  N  N4  1  -0.00771736  0.50000000  0.50000000  1
",2.16,0.0
12551,"# generated using pymatgen
data_CoOsO2F
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.88253553
_cell_length_b   3.88253553
_cell_length_c   3.88253553
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CoOsO2F
_chemical_formula_sum   'Co1 Os1 O2 F1'
_cell_volume   58.52565949
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Os  Os0  1  0.00051696  0.00000000  0.00000000  1
  Co  Co1  1  0.50385120  0.50000000  0.50000000  1
  F  F2  1  0.49988682  0.00000000  0.50000000  1
  O  O3  1  0.50019015  0.50000000  0.00000000  1
  O  O4  1  0.00447059  0.50000000  0.50000000  1
",1.74,0.0
4007,"# generated using pymatgen
data_GeAuNOF
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.24624310
_cell_length_b   4.24624310
_cell_length_c   4.24624310
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   GeAuNOF
_chemical_formula_sum   'Ge1 Au1 N1 O1 F1'
_cell_volume   76.56222773
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ge  Ge0  1  0.00046307  0.00000000  0.00000000  1
  Au  Au1  1  0.50591022  0.50000000  0.50000000  1
  F  F2  1  0.49999791  0.00000000  0.50000000  1
  N  N3  1  0.49955702  0.50000000  0.00000000  1
  O  O4  1  0.00461951  0.50000000  0.50000000  1
",1.76,0.0
8094,"# generated using pymatgen
data_LaMnN2O
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.44382428
_cell_length_b   4.44382428
_cell_length_c   4.44382428
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaMnN2O
_chemical_formula_sum   'La1 Mn1 N2 O1'
_cell_volume   87.75474962
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mn  Mn0  1  0.00103235  -0.00000000  -0.00000000  1
  La  La1  1  0.50074883  0.50000000  0.50000000  1
  N  N2  1  0.50264956  0.00000000  0.50000000  1
  N  N3  1  0.50264956  0.50000000  -0.00000000  1
  O  O4  1  0.00122365  0.50000000  0.50000000  1
",2.26,0.0
